"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YIR039C",59.0271800208085,1.02566705928664,0.19762678326008,2.42064232947383e-08,5.84555114605167e-07
"YLR008C",47.4438094298046,-1.07911888397212,0.208669161610843,2.47544640708961e-08,5.95329580371674e-07
"YLR002C",63.0081049533053,-1.23150452248596,0.238783050909741,2.49886469745688e-08,5.98498577538442e-07
"YNL119W",33.1029597687763,-1.30962002702729,0.254505916923762,2.51243806541182e-08,5.99293389970068e-07
"YJR078W",20.5229617992317,2.02882565407978,0.400844231465817,2.53029817980362e-08,6.01100104177739e-07
"YKL163W",37.1205617100641,-1.64549285603042,0.323025243412001,2.54253907651461e-08,6.01562686767263e-07
"YPL198W",60.7514840998213,-1.03937462492726,0.200703684097768,2.67479692718189e-08,6.30302953324635e-07
"YBR247C",35.194949714737,-1.33293321914076,0.260053364048998,2.71572311178377e-08,6.37376942380095e-07
"YCR024C-B",501.958726102818,-1.02051908764274,0.197707004852557,2.92722845438016e-08,6.84268923495906e-07
"YKR080W",177.965962748572,-2.0158506413389,0.402491903751871,2.99262484137779e-08,6.96768907291306e-07
"YML093W",152.059771406046,-1.13338421327028,0.221849386825284,3.49292843717499e-08,8.10026737573438e-07
"YDR452W",361.914986520618,0.664608412334483,0.126267185323578,3.55098782902027e-08,8.20236081928636e-07
"YBR085W",29.7851076667024,-1.21446850498845,0.238777270292281,3.61088145006659e-08,8.2752906643879e-07
"YDR018C",19.065542450275,1.69019824174992,0.33436767205505,3.60694752827448e-08,8.2752906643879e-07
"YLR111W",8.44708508037874,2.63890676116427,0.518957149947473,3.68590919131398e-08,8.39658375435357e-07
"YOL123W",425.731660716649,-0.712122851070945,0.136059060003687,3.69254282147308e-08,8.39658375435357e-07
"YEL071W",525.954411958784,0.863271265558186,0.167131249728368,3.78051111502118e-08,8.56329726983868e-07
"YBR238C",60.8022867323626,-1.56892399791565,0.312053428178446,3.81641427651064e-08,8.61124518607265e-07
"YMR128W",92.9735789965976,-1.05569030167934,0.206762983913782,3.97561409967712e-08,8.93595723019734e-07
